property_area,house_age,house_style,neighborhood,overall_quality,overall_condition,spaciousness,liv_lot_ratio,remodel_age,bath_area,bsmt_area,garage_area,garage_age,has_2ndfloor,has_porch,has_pool,has_multiple_kitchen,sale_price
2501,12,2Story,Gilbert,6,5,207.0,0.0,15,2.5,775,386,12.0,1,1,0,0,110000
1704,87,1.5Fin,OldTown,6,7,225.0,0.0,19,1.5,666,261,82.0,1,1,0,0,145203
2253,92,1.5Fin,OldTown,5,7,203.0,1.0,57,2.0,625,57,,1,1,0,0,120359
1788,75,1Story,BrkSide,5,7,165.0,0.0,59,1.0,838,228,89.0,0,1,0,0,92758
1361,42,1Story,Edwards,5,5,191.0,0.0,52,1.0,645,457,50.0,0,1,0,0,114073
1586,35,2Story,NAmes,6,7,237.0,0.0,41,2.5,807,498,31.0,1,1,0,0,125158
2982,6,2Story,Gilbert,7,5,266.0,0.0,8,3.5,771,491,3.0,1,1,0,0,251941
2711,6,1Story,CollgCr,7,5,241.0,0.0,2,2.0,1830,699,19.0,0,1,0,0,242136
1756,98,1.5Fin,OldTown,5,7,190.0,0.0,55,1.0,708,204,59.0,1,1,0,0,98599
1602,45,1Story,NAmes,6,5,206.0,0.0,5,2.0,802,408,46.0,0,1,0,0,124332
1644,41,1Story,CollgCr,6,6,188.0,0.0,22,2.0,1076,438,32.0,0,1,0,0,112109
2905,14,2Story,Gilbert,7,5,270.0,0.0,1,2.5,520,433,11.0,1,1,0,0,198524
1891,86,1.5Fin,OldTown,6,7,209.0,0.0,12,2.0,578,427,78.0,1,1,0,0,110878
2716,8,2Story,CollgCr,7,5,299.0,0.0,9,3.5,848,515,14.0,1,1,0,0,244934
4374,2,1Story,NridgHt,8,5,254.0,0.0,2,3.0,1422,754,1.0,0,1,0,0,328373
1811,29,2Story,NAmes,6,6,178.0,0.0,47,2.5,731,585,32.0,1,1,0,0,105187
1953,99,1.5Fin,OldTown,5,6,180.0,0.0,55,2.0,835,223,64.0,1,1,0,0,104037
2263,13,2Story,Gilbert,6,5,288.0,0.0,3,2.5,825,506,12.0,1,1,0,0,155354
2181,46,1Story,NAmes,5,5,177.0,0.0,30,2.0,848,583,46.0,0,1,0,0,149523
3746,0,2Story,NridgHt,9,5,200.0,0.0,-1,2.5,1151,808,5.0,1,1,0,0,331500
4498,2,1Story,Somerst,8,5,260.0,0.0,3,2.0,1756,739,0.0,0,1,0,0,295877
1625,41,2Story,NAmes,6,6,220.0,0.0,32,2.5,581,532,35.0,1,1,0,0,121784
4640,4,1Story,NridgHt,8,5,252.0,0.0,3,3.0,1702,767,0.0,0,1,0,0,252131
4158,0,1Story,NridgHt,8,5,254.0,0.0,-1,3.0,1708,717,4.0,0,1,0,0,239895
2743,31,SLvl,NWAmes,6,5,197.0,0.0,20,2.5,1093,472,44.0,1,1,0,0,172669
2037,41,1Story,Edwards,6,5,199.0,1.0,39,2.0,892,453,27.0,0,1,0,0,170679
1260,80,1.5Fin,BrkSide,5,6,203.0,0.0,60,1.0,856,312,53.0,1,1,0,0,94483
1941,48,1Story,NAmes,5,5,154.0,0.0,45,2.0,1201,299,48.0,0,0,0,0,145016
3298,14,1Story,CollgCr,7,5,253.0,0.0,5,3.0,1513,470,11.0,0,1,0,0,238388
1507,117,1Story,OldTown,3,7,135.0,0.0,54,1.0,781,827,100.0,0,1,0,0,96117
1452,35,2Story,NAmes,6,6,227.0,0.0,52,1.5,639,342,32.0,1,1,0,0,137092
2979,7,1Story,Somerst,7,5,272.0,0.0,1,2.0,1635,381,0.0,0,1,0,0,216935
